"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"Q9R257"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.160964706136822	0.174346625882761	-0.923245318467255	44	0.360914788857079	0.618327305641779
"Q9WTK7"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.319791111299674	0.279083805306496	1.14586050934941	15	0.269805263540087	0.527801955329476
"Q9WTL7"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0210569209029694	0.162235005372588	-0.129792709376193	99	0.896993779417939	0.95092284561802
"Q9WTM5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0730384913957782	0.21456448892324	-0.340403445893172	16	0.737981004539275	0.869557664373071
"Q9WTN0"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.16897739809559	0.136091035982878	1.24164973008839	25	0.225889330571499	0.473776404838336
"Q9WTP6"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0509750049923134	0.184279732065172	0.276617533686698	53	0.783149719962933	0.896571243013897
"Q9WTP7"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.175660878165011	0.0681247366866708	-2.57851826969895	158	0.0108351085454057	0.0716656123751786
"Q9WTQ5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0335882048046898	0.0711067147210949	0.472363333567503	467	0.636888128933648	0.81344660219037
"Q9WTQ8"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0208935796105064	0.323020213567991	0.064681957143554	12	0.949492268186994	0.97641013314604
"Q9WTR1"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.147261437510777	0.444221579972814	0.331504465676317	10	0.747106116303697	0.875190452643396
"Q9WTT4"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0346364701319731	0.0824830866671712	0.419922089867166	106	0.675392303703446	0.837619978660622
"Q9WTU3"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.887431327087233	0.221514944696413	4.00619167390019	13	0.00149455555349731	0.0165595442302933
"Q9WTU6"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0542429672974606	0.0910214147245906	0.595936324013278	9	0.565901552363379	0.766246266972183
"Q9WTX2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.563753027965497	0.306938491571878	-1.83669706943053	15	0.0861502491088877	0.276418769487176
"Q9WTX5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0919778728140518	0.100397838481981	-0.916133994563633	123	0.361389306001223	0.618327305641779
"Q9WTX6"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.570142644881649	0.152949274627568	3.72765837739307	69	0.00039205731881875	0.00594507261937382
"Q9WTZ1"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0679175958030199	0.338753067095388	0.200492932463679	10	0.845113934113563	0.930435340880299
"Q9WU28"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.252915691467126	0.166834170443967	-1.51597056402825	70	0.134029842671992	0.357758975869623
"Q9WU40"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.150485971652044	0.150465839368456	-1.00013379969615	12	0.336986917412896	0.593285930780849
"Q9WU78"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.164147745915836	0.0791011714257548	-2.07516201033644	295	0.0388380340509851	0.16903308306385
"Q9WU79"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.117150097649114	0.177237717966961	0.660977240019258	64	0.51099934356718	0.732489075679077
"Q9WUA2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.200143427689097	0.0887459211400134	-2.25524086198095	176	0.0253500016127861	0.126900765258085
"Q9WUA3"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.23119905819508	0.102578677399507	-2.25387053192976	288	0.024956117209527	0.125545664093474
"Q9WUA6"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.402182006437173	0.817500441495004	0.491965491421243	15	0.629865508375679	0.810917396085261
"Q9WUB3"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.279623264208997	0.0761485128283822	3.67207780983447	368	0.000276230787136234	0.00446897320409136
"Q9WUB4"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.184347845398183	0.091737061811605	-2.0095241961942	27	0.0545733762237597	0.208426840242589
"Q9WUD1"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.17838322953795	0.176267788418449	-1.01200129154896	47	0.316719136920367	0.57465763468869
"Q9WUK2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0837888694528437	0.0670665904598484	-1.24933843927859	72	0.215587609575672	0.459653545570076
"Q9WUK6"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.799791220816885	0.544616277318949	1.46854079491365	15	0.162614901638647	0.396159372695649
"Q9WUL7"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.369670636651611	0.0898613988330225	-4.11378680336949	83	9.12054498301007e-05	0.00192818392708299
"Q9WUM3"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.206403581431163	0.0839946592488417	-2.45734173192696	149	0.0151442315525006	0.0880335274378889
