"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"P63280"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.325515667495465	0.125523955682108	-2.59325533302854	66	0.011698178967634	0.107460089965893
"P63318"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.110791571627368	0.080389154209209	1.37819053723389	446	0.168835457963767	0.471233853667928
"P63321"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0487265847713585	0.115872811198929	0.420517844239622	18	0.679084846794128	0.87678021058545
"P63323"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0334579575861932	0.199810207184796	-0.167448690723039	103	0.867345339415988	0.954358578389999
"P63325"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.319848788111841	0.0904261725715818	-3.5371262436066	50	0.0008834514148508	0.0222217049312106
"P63328"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.00316029403185489	0.0699067460217203	-0.0452072827259472	140	0.964006508027799	0.986941048279716
"P63330"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0863222672652585	0.156431705626198	0.55182078926845	13	0.590431519095977	0.82998534612952
"P67778"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0179374291052763	0.0757565219333991	0.236777357876143	227	0.813043048378127	0.935750912802399
"P67871"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.648584358465349	0.188418245691554	3.44225876896816	64	0.0010216797977689	0.0237885715075111
"P67984"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.13759632273767	0.100754662521633	1.36565712488122	36	0.180519069891305	0.484339102247354
"P68033"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.11706685161014	0.101585835354658	1.1523934532943	47	0.254987275774218	0.576918627106444
"P68037"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.181502192963875	0.152681050922111	1.18876698757115	87	0.23776606681565	0.556654139705919
"P68040"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.088039790052339	0.0950983924260611	0.925775797112341	206	0.35564577845009	0.673848001874588
"P68181"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.000556174494375131	0.146234470195265	-0.00380330638619253	62	0.996977619081547	0.999897562725193
"P68254"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.10410102565824	0.0550602055823677	1.8906762980118	171	0.060358915732172	0.267041014605746
"P68368"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.109782471068829	0.185777804301001	-0.590934269472563	105	0.55583437866835	0.817071122917184
"P68372"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.134187505321734	0.269192787512368	-0.498481057244405	14	0.625884845827431	0.849467971138766
"P68404"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.284274710114253	0.12114942416611	2.3464800767396	105	0.0208285673366189	0.1483694614343
"P68433"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.798866115691194	0.989215596454006	-0.807575333986698	12	0.43505134914432	0.742171757005606
"P68510"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.185274396988483	0.123343075160285	1.50210619240454	214	0.134543819305852	0.417070469469359
"P69566"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.636126939338375	0.467950799425594	1.35938850861932	9	0.207105391436256	0.522649109934696
"P70122"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.948171133898998	0.198530570960291	-4.77594523257905	16	0.00020620132120408	0.00789521947632512
"P70168"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.157272370452255	0.0709172305110579	2.21768911897556	400	0.0271372880746146	0.172922436814552
"P70175"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.100044612963392	0.129701460053319	0.771345310394075	32	0.446160998986268	0.74846710936205
"P70195"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0988338968955496	0.206732816424649	-0.478075511207352	64	0.634225446027225	0.852017772057512
