"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"P08003"	"TG_NT-TG_EGCG"	-0.119183553939748	0.0798552717887374	-1.49249449998814	67	0.140263658431829	0.374036422484878
"P08030"	"TG_NT-TG_EGCG"	0.168050243174699	0.0983437667606357	1.70880421515403	13	0.111236368900256	0.322214380215549
"P08113"	"TG_NT-TG_EGCG"	-0.0366824938301297	0.0543845774907143	-0.674501770955065	199	0.500775182820053	0.734146118398679
"P08207"	"TG_NT-TG_EGCG"	-0.351303120426713	0.359849005377761	-0.976251469857262	5	0.373775826470709	0.645316169852436
"P08226"	"TG_NT-TG_EGCG"	-0.0651849978612183	0.0910805232745619	-0.715685368481233	85	0.476147103483598	0.717040477327245
"P08228"	"TG_NT-TG_EGCG"	-0.0108872917061333	0.118662158304893	-0.0917503259814243	42	0.927332637194728	0.972441101610304
"P08249"	"TG_NT-TG_EGCG"	-0.0261982572333664	0.0383293092349442	-0.683504549293623	141	0.495409740043939	0.730590011731985
"P08414"	"TG_NT-TG_EGCG"	-0.220117420399809	0.0585878263096391	-3.75705047045916	102	0.000286527742346276	0.00449356283150989
"P08551"	"TG_NT-TG_EGCG"	0.51706351932821	0.0637201823175576	8.11459572967569	192	5.7065463465733e-14	2.53941312422512e-11
"P08553"	"TG_NT-TG_EGCG"	0.547843019120962	0.0781356844586296	7.0114317538362	229	2.62374566517565e-11	6.2270230453502e-09
"P08752"	"TG_NT-TG_EGCG"	-0.0996482975130399	0.0603175528615804	-1.65206134509	78	0.102542389145414	0.30446280680373
"P08775"	"TG_NT-TG_EGCG"	-0.160709531569043	0.275125677298456	-0.584131343708446	4	0.590488123972712	0.795962787331638
"P09055"	"TG_NT-TG_EGCG"	-0.137853928014741	0.0631955305654253	-2.18138730352177	30	0.0371248892195506	0.160393938861165
"P09103"	"TG_NT-TG_EGCG"	-0.132056224161309	0.0586402395974855	-2.25197279321777	87	0.0268417182131024	0.128436178546565
"P09405"	"TG_NT-TG_EGCG"	-0.123145936078816	0.0429504800529842	-2.86716087752458	106	0.00499734837116739	0.0397110718780266
"P09411"	"TG_NT-TG_EGCG"	-0.00609117727718225	0.0308963260693433	-0.197148918726171	146	0.843985195883517	0.930500866319394
"P09470"	"TG_NT-TG_EGCG"	0.110529152191828	0.341145756897941	0.323993923292132	3	0.767216873801543	0.898644998480583
"P09528"	"TG_NT-TG_EGCG"	-0.43532640411419	0.0748463518244679	-5.81626750673341	43	6.76159564783063e-07	3.88367008432159e-05
"P09671"	"TG_NT-TG_EGCG"	-0.100986929589313	0.113193572607307	-0.892161341524735	70	0.375363128141712	0.646667331216156
"P09813"	"TG_NT-TG_EGCG"	0.715317331974438	0.0879205547774512	8.13595107293265	8	3.86721452723116e-05	0.000905742349798876
"P09925"	"TG_NT-TG_EGCG"	0.065251174357529	0.0282460126239545	2.31010214525612	5	0.0688984865591165	0.237903600533904
"P0C028"	"TG_NT-TG_EGCG"	-0.0249245860015183	0.017556443198787	-1.41968311686506	15	0.176148247778994	0.426587527881638
"P0C0A3"	"TG_NT-TG_EGCG"	-0.323863291969389	0.0522710402720943	-6.19584554436901	7	0.000447059310715314	0.0064174642989779
"P0C605"	"TG_NT-TG_EGCG"	-0.299429740442813	0.0869345003384088	-3.44431427427806	36	0.00146999886371679	0.0158581695600963
"P0C7M9"	"TG_NT-TG_EGCG"	-0.00475029010671835	0.0363002055596514	-0.130861245369872	27	0.896855253006424	0.957649880234814
"P0C8K7"	"TG_NT-TG_EGCG"	0.136974342283808	0.235977088109046	0.580456108605389	7	0.579804785152069	0.789179362245177
"P0CL69"	"TG_NT-TG_EGCG"	-0.286632377536595	0.259969335040102	-1.10256225986184	6	0.312466450163829	0.588249900890128
"P10126"	"TG_NT-TG_EGCG"	0.052863913754609	0.104276912808585	0.506957027502802	71	0.613755904548691	0.809998753824217
"P10518"	"TG_NT-TG_EGCG"	-0.468923369220855	0.0966470090068978	-4.85191806802203	101	4.45500198553717e-06	0.000168721351792684
"P10605"	"TG_NT-TG_EGCG"	-0.0699570452623084	0.0821074927065709	-0.852017799548638	60	0.397592289810581	0.66442016345119
"P10630"	"TG_NT-TG_EGCG"	-0.0775047535793036	0.0972419812334861	-0.797029766322924	35	0.430807642295267	0.690222865243542
"P10637"	"TG_NT-TG_EGCG"	-0.00955803435214582	0.0853430816025442	-0.111995420983965	181	0.910951141572041	0.965749274567143
"P10639"	"TG_NT-TG_EGCG"	-0.0973992850156176	0.0471057011233804	-2.0676750943693	16	0.0552393203935027	0.208538685684909
"P10649"	"TG_NT-TG_EGCG"	-0.183453871097733	0.0605546596094885	-3.02955829131581	92	0.0031791400135246	0.0280837182336168
"P10711"	"TG_NT-TG_EGCG"	-0.0355815193048462	0.0654469350472947	-0.543669757478078	38	0.589844368631248	0.795875939690027
"P10833"	"TG_NT-TG_EGCG"	0.766219864003565	1.05620177218522	0.725448379449605	7	0.491711547435282	0.727321146442747
"P10852"	"TG_NT-TG_EGCG"	-0.105797810584686	0.0672362022702198	-1.57352448550691	112	0.118418128743372	0.334660091985708
"P10922"	"TG_NT-TG_EGCG"	-0.838746638549283	0.172023711939383	-4.87576177198661	16	0.000168279345678535	0.00286638502686882
"P11031"	"TG_NT-TG_EGCG"	-0.362475158570511	0.0298188333314177	-12.1559134974137	7	5.83037042489742e-06	0.000203491359927792
