"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"P09103"	"WT_NT-WT_EGCG"	-0.177510723613661	0.0511776530967723	-3.46852020115117	99	0.000776202169019857	0.0111602726496879
"P09405"	"WT_NT-WT_EGCG"	-0.0729709129581753	0.0397003785065215	-1.83804073671964	116	0.0686150950427666	0.220228304143617
"P09411"	"WT_NT-WT_EGCG"	0.000164827854892337	0.0444186834078295	0.00371077758831734	164	0.997043744585548	0.998080913633724
"P09470"	"WT_NT-WT_EGCG"	-0.303931164288771	0.27344051467657	-1.111507432058	4	0.328653124060993	0.567323621182885
"P09528"	"WT_NT-WT_EGCG"	-0.65862288596491	0.0792389743679446	-8.31185526085444	51	4.7436721217764e-11	1.86426314385812e-08
"P09671"	"WT_NT-WT_EGCG"	0.0765129134960896	0.0770859777866119	0.992565907484386	77	0.324030476960758	0.5627933985757
"P09813"	"WT_NT-WT_EGCG"	0.0884516421534677	0.0894505612437739	0.988832724172809	9	0.34858252348469	0.586833120211969
"P09925"	"WT_NT-WT_EGCG"	0.0558400415816349	0.0872093162945913	0.640299040907606	4	0.556815699807595	0.754870498359319
"P0C028"	"WT_NT-WT_EGCG"	0.0130469921439237	0.0744623541790966	0.175215950230947	18	0.862865875835983	0.932681312407408
"P0C0A3"	"WT_NT-WT_EGCG"	-0.388782516263518	0.188374792988618	-2.06387760323648	9	0.0690452977783229	0.2203732405722
"P0C605"	"WT_NT-WT_EGCG"	-0.00244062092027528	0.0743275018489909	-0.0328360412977933	53	0.973928686737008	0.98810329721367
"P0C7M9"	"WT_NT-WT_EGCG"	-0.330187267027251	0.0663795416198841	-4.97423240609336	27	3.26393392997559e-05	0.00119015817632203
"P0C8K7"	"WT_NT-WT_EGCG"	-0.208208715180987	0.317483807437236	-0.655808927269929	8	0.530351586810349	0.738525024625277
"P0CL69"	"WT_NT-WT_EGCG"	-0.233623761995551	0.273234099855636	-0.855031499066138	6	0.425353015055813	0.655829823126596
"P10126"	"WT_NT-WT_EGCG"	0.11412453314082	0.0929548415107884	1.22774167849637	85	0.222933096417969	0.457906133583249
"P10518"	"WT_NT-WT_EGCG"	-0.0234584882757505	0.118104138328328	-0.19862545553261	110	0.842922385263962	0.925645795042636
"P10605"	"WT_NT-WT_EGCG"	-0.0808086352671426	0.0943137986831396	-0.856806070749314	63	0.39479954354526	0.628358497098177
"P10630"	"WT_NT-WT_EGCG"	0.0609950914429977	0.0790982219331915	0.771131005884251	56	0.443870886923799	0.671789185729344
"P10637"	"WT_NT-WT_EGCG"	0.0659185958264892	0.0709659199310756	0.928876788894043	189	0.35413773609907	0.591958966248776
"P10639"	"WT_NT-WT_EGCG"	0.0825314639339884	0.0426912849122628	1.93321573954973	18	0.0690963878412694	0.2203732405722
"P10649"	"WT_NT-WT_EGCG"	-0.0887385760166739	0.0474947081220437	-1.86838870108747	86	0.0651128254154534	0.212861723007959
"P10711"	"WT_NT-WT_EGCG"	-0.0754221216430159	0.06758916722978	-1.11589067796333	47	0.270141824558226	0.509323898434139
"P10833"	"WT_NT-WT_EGCG"	-2.20689733252908	1.25047118305449	-1.76485261110804	7	0.120942282902755	0.312114745619186
"P10852"	"WT_NT-WT_EGCG"	-0.115531112585019	0.0586782613266629	-1.96889120387966	123	0.0512141580725398	0.181086959898627
"P10922"	"WT_NT-WT_EGCG"	-0.280292833226669	0.143101300283671	-1.9587022107489	25	0.0613926206996325	0.205825307501991
"P11031"	"WT_NT-WT_EGCG"	-1.05983598940559	0.731525539905458	-1.4488024431007	7	0.190663546083528	0.412968133801249
"P11352"	"WT_NT-WT_EGCG"	-0.437454844845434	0.107160271074177	-4.08224839728731	27	0.000355909468864102	0.00645565021216578
"P11404"	"WT_NT-WT_EGCG"	-0.0495446122773954	0.085358551871978	-0.58042939097307	34	0.565452527458628	0.759898739589057
